"R#","ADP","PLAYER","POS","TEAM","GP","MPG","FG%","FT%","3PM","PTS","TREB","AST","STL","BLK","TO","TOTAL"
"1","1.6","Victor Wembanyama","C","SA","70","31.1","0.473                                                          (8.8/18.6)  (i) -0.1112924000 (i)","0.802                                                          (4.5/5.6)  (i) 0.5326307000 (i)","2.0  (i) 0.4431330440 (i)","24.1 vgood (i) 1.5938385188 (i)","11.6 elite (i) 2.6748860382 (i)","4.4 good (i) 0.7953564608 (i)","1.4 good (i) 1.2383404515 (i)","3.9 elite (i) 7.4688199913 (i)","3.4 ngood (i) 2.3571972983 (i)","13.45"
"2                                                                 1","4.1","Shai Gilgeous-Alexander","PG","OKC","73","33.5","0.524                                                          (10.2/19.5) vgood (i) 1.9963197500 (i)","0.880                                                          (8.1/9.2) elite (i) 4.4666203000 (i)","1.4 bavg (i) -0.1955356239 (i)","29.9 vgood (i) 2.5169822873 (i)","5.1  (i) 0.2087261616 (i)","6.5 vgood (i) 1.9212020595 (i)","1.9 elite (i) 2.6283611952 (i)","0.9 good (i) 0.8981937809 (i)","2.4 bavg (i) 1.1837166384 (i)","12.70"
"3                                                                 1","1.7","Nikola Jokic","C","DEN","75","34.1","0.585                                                          (10.4/17.8) elite (i) 4.2486490000 (i)","0.819                                                          (4.8/5.8) good (i) 1.0813147000 (i)","1.1 bavg (i) -0.4927693204 (i)","26.7 vgood (i) 2.1068492652 (i)","12.1 elite (i) 3.0337266731 (i)","9.0 elite (i) 3.2703374563 (i)","1.4 good (i) 1.3835569870 (i)","0.9 good (i) 0.7892555140 (i)","3.0 ngood (i) 1.9703348065 (i)","12.48"
"4                                                                 2","7.8","Anthony Davis","PF,C","LAL","67","34.5","0.559                                                          (9.5/17.0) elite (i) 2.9272334500 (i)","0.802                                                          (5.8/7.3) good (i) 0.6778377000 (i)","0.4 ngood (i) -1.3804354269 (i)","25.2 vgood (i) 1.6794081911 (i)","12.7 elite (i) 3.0156979869 (i)","3.6  (i) 0.3474488283 (i)","1.2 good (i) 0.8126933417 (i)","2.3 elite (i) 3.8178709382 (i)","2.1 bavg (i) 0.7266628549 (i)","11.46"
"5","8.1","Joel Embiid","C","PHI","62","32.8","0.518                                                          (9.4/18.2) vgood (i) 1.5192262000 (i)","0.871                                                          (9.0/10.3) elite (i) 4.1804379000 (i)","1.3 bavg (i) -0.4078545605 (i)","29.2 vgood (i) 2.0933465216 (i)","10.1 vgood (i) 1.9050204142 (i)","4.0 good (i) 0.4694535521 (i)","1.0  (i) 0.0953021126 (i)","1.5 vgood (i) 1.8705651908 (i)","3.5 ngood (i) 2.1842573965 (i)","10.83"
"6                                                                 2","3.1","Luka Doncic","PG,SG","DAL","68","36.8","0.491                                                          (11.3/23.0) good (i) 0.7099818000 (i)","0.792                                                          (7.6/9.7)  (i) 0.4624860500 (i)","4.1 elite (i) 2.7225248651 (i)","34.4 elite (i) 2.9944066214 (i)","9.3 vgood (i) 1.7546712268 (i)","9.9 elite (i) 3.4952841804 (i)","1.4 good (i) 1.3184501526 (i)","0.5  (i) -0.0536302352 (i)","3.8 ngood (i) 2.8057763327 (i)","10.08"
"7","6.1","Giannis Antetokounmpo","PF,C","MIL","71","34.6","0.614                                                          (11.8/19.2) elite (i) 5.6097284500 (i)","0.671                                                          (7.0/10.5) ngood (i) -3.3900000000 (i)","0.6 ngood (i) -1.0812774806 (i)","31.1 elite (i) 2.6319550594 (i)","11.8 elite (i) 2.7710630531 (i)","6.7 vgood (i) 1.9717079815 (i)","1.2 good (i) 0.8976528310 (i)","1.1 good (i) 1.3397877166 (i)","3.4 ngood (i) 2.3368061783 (i)","10.08"
"8                                                                 2","8.8","Jayson Tatum","SF,PF","BOS","75","35.8","0.469                                                          (9.4/20.1) bavg (i) -0.3395483500 (i)","0.836                                                          (6.1/7.3) vgood (i) 1.9597566000 (i)","2.9 good (i) 1.5569500974 (i)","27.9 vgood (i) 2.2719587011 (i)","9.0 vgood (i) 1.7833865686 (i)","5.1 good (i) 1.2296202216 (i)","1.1 good (i) 0.7687751646 (i)","0.7  (i) 0.4894301335 (i)","2.5 bavg (i) 1.3002174671 (i)","8.47"
"9                                                                 15","16.2","Chet Holmgren","PF,C","OKC","75","30.6","0.530                                                          (6.5/12.2) good (i) 1.4634573000 (i)","0.793                                                          (2.8/3.5)  (i) 0.1769530000 (i)","1.7  (i) 0.1107591749 (i)","17.4 good (i) 0.7270061224 (i)","8.1 good (i) 1.4301158724 (i)","2.6  (i) -0.0994622853 (i)","0.7 bavg (i) -0.4340588357 (i)","2.3 elite (i) 4.1103981896 (i)","1.7  (i) 0.3013633196 (i)","7.48"
"10                                                                 2","11.5","Stephen Curry","PG,SG","GS","68","31.4","0.469                                                          (8.8/18.7)  (i) -0.2771429500 (i)","0.918                                                          (4.0/4.4) elite (i) 2.8314669000 (i)","4.8 elite (i) 3.4492766416 (i)","26.4 vgood (i) 1.8797880840 (i)","4.5  (i) -0.0887218120 (i)","5.3 good (i) 1.2075659655 (i)","0.8  (i) -0.1606015548 (i)","0.4 bavg (i) -0.2512291325 (i)","2.8 ngood (i) 1.5883690078 (i)","7.29"
