R#,ADP,PLAYER,VALUE
1,1.7,Nikola Jokic,$76.0
2,4.1,Shai Gilgeous-Alexander,$72.0
3,1.6,Victor Wembanyama,$72.0
4,3.1,Luka Doncic,$65.0
5,7.8,Anthony Davis,$60.0
6,6.1,Giannis Antetokounmpo,$59.0
7,8.1,Joel Embiid,$57.0
8,7.0,Tyrese Haliburton,$49.0
9,8.8,Jayson Tatum,$48.0
10,11.9,Trae Young,$47.0
11,19.9,James Harden,$42.0
12,11.5,Stephen Curry,$42.0
13,14.0,Domantas Sabonis,$41.0
14,16.6,Donovan Mitchell,$39.0
15,22.7,Damian Lillard,$38.0
16,16.2,Chet Holmgren,$38.0
17,19.2,Scottie Barnes,$38.0
18,13.2,Kevin Durant,$37.0
19,23.2,LeBron James,$37.0
20,18.9,Devin Booker,$37.0
21,12.4,Anthony Edwards,$37.0
22,20.8,Kyrie Irving,$35.0
23,34.3,Karl-Anthony Towns,$35.0
24,21.3,Jalen Brunson,$35.0
25,31.7,Lauri Markkanen,$32.0
26,28.6,Paul George,$31.0
27,25.9,LaMelo Ball,$29.0
28,48.5,Derrick White,$27.0
29,47.1,Rudy Gobert,$26.0
30,39.0,Fred VanVleet,$26.0
31,28.0,Tyrese Maxey,$25.0
32,24.7,De'Aaron Fox,$25.0
33,40.9,Jalen Williams,$24.0
34,31.1,Dejounte Murray,$24.0
35,31.7,Jaren Jackson Jr.,$24.0
36,31.8,Bam Adebayo,$23.0
37,49.7,Jimmy Butler,$23.0
38,30.0,Alperen Sengün,$23.0
39,40.6,Evan Mobley,$23.0
40,43.7,Myles Turner,$23.0
41,54.2,DeMar DeRozan,$22.0
42,42.0,Desmond Bane,$22.0
43,56.2,Immanuel Quickley,$22.0
44,41.3,Jalen Johnson,$21.0
45,33.7,Kawhi Leonard,$21.0
46,58.9,Nicolas Claxton,$21.0
47,46.1,Franz Wagner,$21.0
48,34.4,Ja Morant,$20.0
49,52.7,Nikola Vucevic,$19.0
50,35.7,Cade Cunningham,$18.0
51,49.2,Jamal Murray,$18.0
52,49.3,Jarrett Allen,$17.0
53,95.1,Jordan Poole,$16.0
54,51.5,Pascal Siakam,$16.0
55,77.4,D'Angelo Russell,$16.0
56,42.7,Jaylen Brown,$16.0
57,53.9,Mikal Bridges,$16.0
58,61.8,Darius Garland,$15.0
59,70.3,Josh Giddey,$15.0
60,81.4,Jabari Smith Jr.,$15.0
61,68.3,Tobias Harris,$14.0
62,76.8,Keegan Murray,$14.0
63,83.4,Isaiah Hartenstein,$14.0
64,50.9,Zion Williamson,$14.0
65,55.3,Jalen Duren,$14.0
66,58.5,Miles Bridges,$14.0
67,78.0,Jrue Holiday,$14.0
68,63.6,Deandre Ayton,$13.0
69,34.6,Paolo Banchero,$13.0
70,112.4,Daniel Gafford,$13.0
71,79.2,Coby White,$13.0
72,83.4,Austin Reaves,$12.0
73,101.2,Walker Kessler,$12.0
74,68.2,Michael Porter Jr.,$12.0
75,118.0,Collin Sexton,$12.0
76,126.9,Trayce Jackson-Davis,$11.0
77,94.6,Jakob Poeltl,$11.0
78,68.3,Zach LaVine,$11.0
79,75.4,Tyler Herro,$11.0
80,110.3,Dereck Lively II,$11.0
81,97.6,Jalen Suggs,$10.0
82,86.4,Jonas Valanciunas,$10.0
83,100.4,Bogdan Bogdanovic,$10.0
84,119.0,Onyeka Okongwu,$10.0
85,100.1,Ivica Zubac,$10.0
86,68.9,Brandon Miller,$9.0
87,123.5,Mike Conley,$9.0
88,103.6,Alex Caruso,$9.0
89,111.1,Tyus Jones,$9.0
90,98.6,Herbert Jones,$9.0
91,127.1,Buddy Hield,$9.0
92,72.4,Brook Lopez,$8.0
93,125.1,Amen Thompson,$8.0
94,75.4,Cam Thomas,$8.0
95,63.5,Brandon Ingram,$8.0
96,88.9,Anfernee Simons,$8.0
97,88.5,Kristaps Porzingis,$7.0
98,95.4,Jalen Green,$7.0
99,81.7,Bradley Beal,$7.0
