R#,ADP,PLAYER,VALUE
1,1.6,Victor Wembanyama,$77.0
2,4.1,Shai Gilgeous-Alexander,$72.0
3,1.7,Nikola Jokic,$71.0
4,7.8,Anthony Davis,$65.0
5,8.1,Joel Embiid,$62.0
6,3.1,Luka Doncic,$58.0
7,6.1,Giannis Antetokounmpo,$58.0
8,8.8,Jayson Tatum,$48.0
9,16.2,Chet Holmgren,$43.0
10,11.5,Stephen Curry,$42.0
11,16.6,Donovan Mitchell,$38.0
12,13.2,Kevin Durant,$38.0
13,34.3,Karl-Anthony Towns,$38.0
14,31.7,Lauri Markkanen,$37.0
15,7.0,Tyrese Haliburton,$37.0
16,18.9,Devin Booker,$35.0
17,19.2,Scottie Barnes,$35.0
18,20.8,Kyrie Irving,$35.0
19,12.4,Anthony Edwards,$35.0
20,11.9,Trae Young,$35.0
21,14.0,Domantas Sabonis,$34.0
22,28.6,Paul George,$34.0
23,22.7,Damian Lillard,$33.0
24,47.1,Rudy Gobert,$32.0
25,19.9,James Harden,$31.0
26,23.2,LeBron James,$30.0
27,31.7,Jaren Jackson Jr.,$29.0
28,21.3,Jalen Brunson,$29.0
29,43.7,Myles Turner,$29.0
30,48.5,Derrick White,$25.0
31,58.9,Nicolas Claxton,$25.0
32,40.6,Evan Mobley,$24.0
33,31.8,Bam Adebayo,$24.0
34,40.9,Jalen Williams,$24.0
35,33.7,Kawhi Leonard,$23.0
36,41.3,Jalen Johnson,$23.0
37,54.2,DeMar DeRozan,$22.0
38,25.9,LaMelo Ball,$22.0
39,24.7,De'Aaron Fox,$21.0
40,49.7,Jimmy Butler,$21.0
41,42.0,Desmond Bane,$21.0
42,28.0,Tyrese Maxey,$21.0
43,49.3,Jarrett Allen,$21.0
44,46.1,Franz Wagner,$20.0
45,52.7,Nikola Vucevic,$20.0
46,30.0,Alperen Sengün,$20.0
47,81.4,Jabari Smith Jr.,$19.0
48,76.8,Keegan Murray,$18.0
49,31.1,Dejounte Murray,$18.0
50,39.0,Fred VanVleet,$18.0
51,63.6,Deandre Ayton,$18.0
52,101.2,Walker Kessler,$18.0
53,55.3,Jalen Duren,$18.0
54,112.4,Daniel Gafford,$17.0
55,83.4,Isaiah Hartenstein,$17.0
56,68.2,Michael Porter Jr.,$16.0
57,53.9,Mikal Bridges,$16.0
58,68.3,Tobias Harris,$16.0
59,42.7,Jaylen Brown,$16.0
60,56.2,Immanuel Quickley,$15.0
61,110.3,Dereck Lively II,$15.0
62,51.5,Pascal Siakam,$15.0
63,126.9,Trayce Jackson-Davis,$15.0
64,119.0,Onyeka Okongwu,$15.0
65,58.5,Miles Bridges,$14.0
66,100.1,Ivica Zubac,$14.0
67,49.2,Jamal Murray,$13.0
68,94.6,Jakob Poeltl,$13.0
69,86.4,Jonas Valanciunas,$13.0
70,72.4,Brook Lopez,$13.0
71,50.9,Zion Williamson,$11.0
72,95.1,Jordan Poole,$11.0
73,34.4,Ja Morant,$11.0
74,68.9,Brandon Miller,$11.0
75,86.8,Clint Capela,$11.0
76,98.6,Herbert Jones,$11.0
77,88.5,Kristaps Porzingis,$11.0
78,100.4,Bogdan Bogdanovic,$11.0
79,77.4,D'Angelo Russell,$11.0
80,76.5,Mark Williams,$10.0
81,78.0,Jrue Holiday,$10.0
82,101.9,John Collins,$10.0
83,68.3,Zach LaVine,$10.0
84,35.7,Cade Cunningham,$10.0
85,97.6,Jalen Suggs,$10.0
86,75.4,Tyler Herro,$10.0
87,127.1,Buddy Hield,$9.0
88,142.4,Taylor Hendricks,$9.0
89,139.3,Norman Powell,$9.0
90,103.3,Naz Reid,$9.0
91,79.2,Coby White,$9.0
92,98.7,OG Anunoby,$9.0
93,75.4,Cam Thomas,$9.0
94,103.6,Alex Caruso,$9.0
95,83.4,Austin Reaves,$9.0
96,118.0,Collin Sexton,$9.0
97,70.3,Josh Giddey,$9.0
98,125.1,Amen Thompson,$8.0
99,61.8,Darius Garland,$8.0
100,34.6,Paolo Banchero,$8.0
101,94.2,Trey Murphy III,$7.0
