R#,ADP,PLAYER,VALUE
1,1.7,Nikola Jokic,$79.0
2,1.6,Victor Wembanyama,$76.0
3,4.1,Shai Gilgeous-Alexander,$72.0
4,3.1,Luka Doncic,$62.0
5,7.8,Anthony Davis,$62.0
6,8.1,Joel Embiid,$57.0
7,6.1,Giannis Antetokounmpo,$57.0
8,7.0,Tyrese Haliburton,$52.0
9,8.8,Jayson Tatum,$45.0
10,19.9,James Harden,$44.0
11,11.9,Trae Young,$44.0
12,14.0,Domantas Sabonis,$43.0
13,16.2,Chet Holmgren,$41.0
14,11.5,Stephen Curry,$40.0
15,19.2,Scottie Barnes,$40.0
16,16.6,Donovan Mitchell,$37.0
17,22.7,Damian Lillard,$36.0
18,13.2,Kevin Durant,$36.0
19,23.2,LeBron James,$35.0
20,34.3,Karl-Anthony Towns,$35.0
21,20.8,Kyrie Irving,$34.0
22,18.9,Devin Booker,$33.0
23,12.4,Anthony Edwards,$33.0
24,28.6,Paul George,$30.0
25,21.3,Jalen Brunson,$30.0
26,31.7,Lauri Markkanen,$30.0
27,48.5,Derrick White,$29.0
28,47.1,Rudy Gobert,$29.0
29,25.9,LaMelo Ball,$29.0
30,39.0,Fred VanVleet,$27.0
31,40.6,Evan Mobley,$24.0
32,58.9,Nicolas Claxton,$24.0
33,40.9,Jalen Williams,$24.0
34,43.7,Myles Turner,$23.0
35,31.1,Dejounte Murray,$23.0
36,31.7,Jaren Jackson Jr.,$23.0
37,49.7,Jimmy Butler,$22.0
38,31.8,Bam Adebayo,$22.0
39,30.0,Alperen Sengün,$22.0
40,41.3,Jalen Johnson,$22.0
41,28.0,Tyrese Maxey,$22.0
42,56.2,Immanuel Quickley,$21.0
43,54.2,DeMar DeRozan,$21.0
44,24.7,De'Aaron Fox,$20.0
45,33.7,Kawhi Leonard,$20.0
46,42.0,Desmond Bane,$20.0
47,46.1,Franz Wagner,$19.0
48,83.4,Isaiah Hartenstein,$19.0
49,52.7,Nikola Vucevic,$19.0
50,49.3,Jarrett Allen,$18.0
51,49.2,Jamal Murray,$17.0
52,55.3,Jalen Duren,$16.0
53,101.2,Walker Kessler,$16.0
54,112.4,Daniel Gafford,$16.0
55,81.4,Jabari Smith Jr.,$16.0
56,34.4,Ja Morant,$15.0
57,53.9,Mikal Bridges,$15.0
58,78.0,Jrue Holiday,$15.0
59,77.4,D'Angelo Russell,$15.0
60,35.7,Cade Cunningham,$15.0
61,76.8,Keegan Murray,$15.0
62,110.3,Dereck Lively II,$15.0
63,70.3,Josh Giddey,$14.0
64,68.3,Tobias Harris,$14.0
65,126.9,Trayce Jackson-Davis,$14.0
66,95.1,Jordan Poole,$14.0
67,94.6,Jakob Poeltl,$14.0
68,61.8,Darius Garland,$14.0
69,63.6,Deandre Ayton,$13.0
70,103.6,Alex Caruso,$13.0
71,119.0,Onyeka Okongwu,$13.0
72,51.5,Pascal Siakam,$13.0
73,83.4,Austin Reaves,$12.0
74,98.6,Herbert Jones,$12.0
75,100.1,Ivica Zubac,$12.0
76,97.6,Jalen Suggs,$12.0
77,123.5,Mike Conley,$11.0
78,58.5,Miles Bridges,$11.0
79,86.4,Jonas Valanciunas,$11.0
80,111.1,Tyus Jones,$11.0
81,79.2,Coby White,$11.0
82,42.7,Jaylen Brown,$11.0
83,68.2,Michael Porter Jr.,$11.0
84,72.4,Brook Lopez,$10.0
85,50.9,Zion Williamson,$10.0
86,125.1,Amen Thompson,$10.0
87,100.4,Bogdan Bogdanovic,$9.0
88,118.0,Collin Sexton,$9.0
89,103.9,Draymond Green,$9.0
90,127.1,Buddy Hield,$9.0
91,75.4,Tyler Herro,$8.0
92,86.8,Clint Capela,$8.0
93,68.3,Zach LaVine,$8.0
94,34.6,Paolo Banchero,$8.0
95,88.5,Kristaps Porzingis,$8.0
96,142.4,Taylor Hendricks,$8.0
97,68.9,Brandon Miller,$7.0
98,76.5,Mark Williams,$7.0
99,98.7,OG Anunoby,$6.0
100,101.9,John Collins,$6.0
101,76.7,Jusuf Nurkic,$6.0
102,81.7,Bradley Beal,$6.0
103,103.3,Naz Reid,$5.0
104,63.5,Brandon Ingram,$5.0
105,100.7,Khris Middleton,$5.0
106,137.5,Kentavious Caldwell-Pope,$5.0
107,80.0,CJ McCollum,$5.0
108,68.7,Devin Vassell,$4.0
109,88.9,Anfernee Simons,$4.0
110,94.2,Trey Murphy III,$4.0
111,138.9,Grayson Allen,$4.0
112,146.5,Terance Mann,$4.0
113,139.3,Norman Powell,$3.0
114,122.7,Donte DiVincenzo,$3.0
115,150.8,Corey Kispert,$3.0
116,119.7,Josh Hart,$3.0
117,95.4,Jalen Green,$3.0
118,124.1,Brandin Podziemski,$2.0
119,82.8,Kyle Kuzma,$2.0
120,117.0,Aaron Gordon,$2.0
121,112.9,Bobby Portis,$2.0
122,75.4,Cam Thomas,$1.0
123,146.7,Keon Ellis,$1.0
124,98.1,Jonathan Kuminga,$1.0
125,132.0,Dennis Schröder,$1.0
126,145.3,P.J. Washington,$1.0
127,100.0,Terry Rozier,$1.0
128,133.6,Al Horford,$0.0
129,130.4,Malik Monk,$0.0
130,127.1,Marcus Smart,$0.0
131,139.7,Tre Jones,$0.0
132,65.3,Julius Randle,$0.0
133,142.8,Jalen Smith,$0.0
134,127.1,Cameron Johnson,$0.0
135,135.4,Kelly Olynyk,$0.0
136,144.2,Ausar Thompson,$-0.0
137,116.6,Keyonte George,$-0.0
138,127.8,Aaron Nesmith,$-0.0
139,142.7,De'Anthony Melton,$-1.0
140,150.8,Bruce Brown,$-1.0
141,144.1,Jeremy Sochan,$-1.0
142,144.7,Nick Richards,$-1.0
143,138.6,Alexandre Sarr,$-1.0
144,109.7,Klay Thompson,$-1.0
145,146.8,Dyson Daniels,$-1.0
146,107.8,Jerami Grant,$-1.0
147,145.7,Noah Clowney,$-2.0
148,130.9,Luguentz Dort,$-2.0
149,142.1,Jaden Ivey,$-2.0
150,141.1,Jaden McDaniels,$-2.0
151,142.6,T.J. McConnell,$-2.0
152,114.3,Zach Edey,$-2.0
153,147.0,Tari Eason,$-3.0
154,126.6,Mitchell Robinson,$-3.0
155,145.8,Patrick Williams,$-3.0
156,128.3,Deni Avdija,$-4.0
157,,Daniel Theis,$-4.0
158,144.5,Rui Hachimura,$-4.0
159,144.3,Max Strus,$-4.0
160,140.6,Reed Sheppard,$-4.0
161,99.6,Chris Paul,$-4.0
162,140.3,Andre Drummond,$-4.0
163,133.4,Jaime Jaquez Jr.,$-4.0
164,144.6,Donovan Clingan,$-5.0
165,,Peyton Watson,$-5.0
166,99.3,RJ Barrett,$-5.0
167,141.8,Cole Anthony,$-5.0
168,144.7,Christian Braun,$-5.0
169,144.6,Kevin Porter Jr.,$-5.0
170,136.3,Andrew Nembhard,$-5.0
171,,Jarred Vanderbilt,$-5.0
172,145.0,Kyle Lowry,$-6.0
173,,Cason Wallace,$-6.0
174,139.1,Wendell Carter Jr.,$-6.0
175,148.4,Sam Hauser,$-6.0
176,,Kevin Huerter,$-6.0
177,144.3,Bilal Coulibaly,$-6.0
178,,Nickeil Alexander-Walker,$-7.0
179,147.2,Jonathan Isaac,$-7.0
180,133.5,Scoot Henderson,$-7.0
181,,Miles McBride,$-7.0
182,142.6,Marvin Bagley III,$-7.0
183,,Caleb Martin,$-7.0
184,141.0,Gary Trent Jr.,$-8.0
185,144.5,Kelly Oubre Jr.,$-8.0
186,,Luke Kennard,$-8.0
187,142.0,Andrew Wiggins,$-8.0
188,143.2,Caris LeVert,$-8.0
189,132.2,Shaedon Sharpe,$-9.0
190,146.7,Duncan Robinson,$-9.0
191,,Karlo Matkovic,$-9.0
192,140.3,Russell Westbrook,$-9.0
193,138.4,Harrison Barnes,$-9.0
194,131.9,Ayo Dosunmu,$-9.0
195,,Brandon Clarke,$-9.0
196,,Royce O'Neale,$-10.0
197,,Isaiah Jackson,$-10.0
198,,Josh Richardson,$-10.0
199,141.2,Keldon Johnson,$-10.0
200,,Josh Green,$-10.0
